Item;Loc;Item;Issue_Manuf;Issue_CMG;Local code;Item descr;DRPCovDur;MinDRPQty;IncDRPQty;ProdMinQty; ProdIncQty; ProdMaxQty;SSCov;Projection Columns;21.03.22 12;01.04.22 13;01.05.22 17;01.06.22 22;01.07.22 26;01.08.22 31;01.09.22 35;01.10.22 39;01.11.22 44;01.12.22 48;01.01.22 52;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;SupsdConstrProjOh;0;0;839;839;-813;3;11;11;11;11;3;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;AltConstrPOH;0;0;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;****   SS   ****;0;0;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;CovDur;;;33D23H59M;2D23H59M;;3D6H28M;32D12H40M;2D12H40M;31D15H54M;1D15H54M;30D17H53M;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;ConstrCovDur;;;33D23H59M;2D23H59M;;3D6H28M;32D12H40M;2D12H40M;31D15H54M;1D15H54M;30D17H53M;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;AltConstrCovDur;;;;;;;;;;;;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;TotDmd;0;86;48;19;49;24;48;22;44;6;31;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;AdjAllocTotFcst;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;FcstCustOrders;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;NonFcstCustOrders;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;DepDmd;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;CONFSHIPOUT;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;ProxyDemand;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;PlanShip;0;86;48;19;49;24;48;22;44;6;31;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;RecShip;0;0;370;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;TotSupply;0;0;370;0;0;0;0;0;0;0;32;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;Inventory;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;ActualIntransIn;0;0;0;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;CommitIntransIn;0;0;370;0;0;0;0;0;0;0;0;
F05512A1;627MF;F05512A1;7603 SO QTY DECREASED 26%;"&nbsp;"; ;STILAMIN AMP 3MG (1) wo Solvent - BRA;1D;0;1;"&nbsp;";"&nbsp;";"&nbsp;";;ProxySupply;0;0;0;0;0;0;0;0;0;0;0;
